warehouse_id,sku,lp,sp,profit_per_quantity,no_of_units,total_profit_per_sku,min_units,max_units
2379,UNICORN-UNILEVER-0601-2063,3.24,3.430417,0.190417,7889,1502.199713,3944,11833
2379,UNICORN-UNILEVER-280124-2560,4.06,4.288165,0.228165,35482,8095.75053,17741,53223
2379,UNICORN-UNILEVER-080124-6407,1.65,1.749931,0.099931,4418,441.495158,2209,6627
2379,UNICORN-UNILEVER-080124-6406,91.22,96.457361,5.237361,204,1068.421644,102,306
2379,UNICORN-UNILEVER-080124-6404,41.85,44.251667,2.401667,4652,11172.55488,2326,6978
2379,UNICORN-UNILEVER-271123-2700,124.95,131.666667,6.716667,96,644.800032,48,144
2379,UNICORN-UNILEVER-300723-0001,3.25,3.4292,0.1792,3619,648.5248,1809,5428
2379,UNICORN-UNILEVER-130723-1437,15.8254,13.2283,-2.672933333,7,-18.71053333,3,10
2379,UNICORN-UNILEVER-130723-1442,106.2885,76,-30.2885,1,-30.2885,0,1
2379,UNICORN-UNILEVER-130723-1402,40.9356,37,-3.9356,7,-27.5492,3,10
2379,UNICORN-UNILEVER-080124-6402,3.24,3.429058,0.189058,3434,649.225172,1717,5151
2379,UNICORN-UNILEVER-180124-3882,76.16,80.535833,4.375833,373,1632.185709,186,559
2379,UNICORN-UNILEVER-0601-2059,3.29,3.479167,0.189167,1449,274.102983,724,2173
2379,UNICORN-UNILEVER-0601-2057,161.9,171.20375,9.30375,134,1246.7025,67,201
2379,UNICORN-UNILEVER-0601-2058,161.9,171.20375,9.30375,88,818.73,44,132
2379,UNICORN-UNILEVER-300723-0005,165.1,173.9654,8.8654,21,186.1734,10,31
2379,UNICORN-UNILEVER-0601-2054,118.49,125.302917,6.812917,116,790.298372,58,174
2379,UNICORN-UNILEVER-060124-8891,83.85,88.6675,4.8175,261,1257.3675,130,391
2379,UNICORN-UNILEVER-060224-4725,16.39,17.329514,0.939514,1740,1634.75436,870,2610
2379,UNICORN-UNILEVER-170124-7267,78.49,82.998472,4.508472,7137,32176.96466,3568,10705
2379,UNICORN-UNILEVER-140124-1992,131.28,138.828611,7.548611,5078,38331.84666,2539,7617
2379,UNICORN-UNILEVER-080124-6398,72.74,76.917083,4.177083,512,2138.666496,256,768
2379,UNICORN-UNILEVER-130723-1242,8.79,9.26,0.47,955,448.85,477,1432
2379,UNICORN-UNILEVER-130723-1240,13.06,13.7613,0.3480230769,518,180.2759538,259,777
2379,UNICORN-UNILEVER-130723-1554,8.47,8.9283,0.4583,1389,636.5787,694,2083
2379,UNICORN-UNILEVER-130723-1475,52.27,55.0767,2.8067,1667,4678.7689,833,2500
2379,UNICORN-UNILEVER-060124-8901,52.08,55.07625,2.99625,278,832.9575,139,417
2379,UNICORN-UNILEVER-0601-2047,43.43,45.926389,2.496389,6970,17399.83133,3485,10455
2379,UNICORN-UNILEVER-0601-2043,52.08,55.07625,2.99625,1267,3796.24875,633,1900
2379,UNICORN-UNILEVER-130723-1342,41.88,45.9267,4.0467,1188,4807.4796,594,1782
2379,UNICORN-UNILEVER-0601-2048,76.39,80.778333,4.388333,655,2874.358115,327,982
2379,UNICORN-UNILEVER-0601-2049,43.43,45.926389,2.496389,1879,4690.714931,939,2818
2379,UNICORN-UNILEVER-060124-0005,8.44,8.92854,0.48854,4189,2046.49406,2094,6283
2379,UNICORN-UNILEVER-060124-8895,76.39,80.778333,4.388333,68,298.406644,34,102
2379,UNICORN-UNILEVER-130723-1809,62.32,65.6667,3.3467,17,56.8939,8,25
2379,UNICORN-UNILEVER-011123-7710,62.32,65.666,3.346,34,113.764,17,51
2379,UNICORN-UNILEVER-141123-1008,45.85,50.41667,4.56667,235,1073.16745,117,352
2379,UNICORN-UNILEVER-141123-1009,45.85,50.41667,4.56667,3235,14773.17745,1617,4852
2379,UNICORN-UNILEVER-060124-0007,59.79,63.2225,3.4325,2449,8406.1925,1224,3673
2379,UNICORN-UNILEVER-100124-1224,59.79,63.2225,3.4325,4353,14941.6725,2176,6529
2379,UNICORN-UNILEVER-080124-6392,47.68,50.41713,2.73713,5085,13918.30605,2542,7627
2379,UNICORN-UNILEVER-0601-2034,12.55,13.274306,0.724306,2342,1696.324652,1171,3513
2379,UNICORN-UNILEVER-0601-2039,39.09,41.333704,2.243704,640,1435.97056,320,960
2379,UNICORN-UNILEVER-0601-2038,39.09,41.333704,2.243704,302,677.598608,151,453
2379,UNICORN-UNILEVER-130723-1315,40.69,43.75,3.06,760,2325.6,380,1140
2379,UNICORN-UNILEVER-110124-2223,41.51,43.8904,2.3804,7012,16691.3648,3506,10518
2379,UNICORN-UNILEVER-260823-0003,74.65,78.6583,4.0083,235,941.9505,117,352
2379,UNICORN-UNILEVER-150124-3865,132.83,140.461667,7.631667,435,3319.775145,217,652
2379,UNICORN-UNILEVER-080124-6391,24.82,26.249028,1.429028,8826,12612.60113,4413,13239
2379,UNICORN-UNILEVER-130723-1311,106.76,112.5,5.74,22,126.28,11,33
2379,UNICORN-UNILEVER-0601-2031,103.55,109.505,5.955,205,1220.775,102,307
2379,UNICORN-UNILEVER-130723-1669,127.64,134.5,6.86,156,1070.16,78,234
2379,UNICORN-UNILEVER-080124-0016,85.82,90.751,4.931,1071,5281.101,535,1606
2379,UNICORN-UNILEVER-080124-6390,288.43,305.002083,16.572083,76,1259.478308,38,114
