sku,warehouse_id,quantity
('UNICORN_UNILEVER_010124_1783',144),9427.0
('UNICORN_UNILEVER_010124_1783',2379),7722.0
('UNICORN_UNILEVER_010124_1783',2671),8127.0
('UNICORN_UNILEVER_010124_1783',2720),3573.0
('UNICORN_UNILEVER_010124_7248',156),151.0
('UNICORN_UNILEVER_010124_7249',156),334.0
('UNICORN_UNILEVER_010124_7250',144),3579.0
('UNICORN_UNILEVER_010124_7250',156),3456.0
('UNICORN_UNILEVER_010124_7250',2379),529.0
('UNICORN_UNILEVER_010124_7250',2671),745.0
('UNICORN_UNILEVER_010124_7250',2720),804.0
('UNICORN_UNILEVER_010124_7250',3004),1275.0
('UNICORN_UNILEVER_011023_5231',2720),1e-05
('UNICORN_UNILEVER_011123_7710',144),1417.0
('UNICORN_UNILEVER_011123_7710',156),1342.0
('UNICORN_UNILEVER_011123_7710',2379),51.0
('UNICORN_UNILEVER_011123_7710',2720),1.0
('UNICORN_UNILEVER_011123_7711',2671),1.0
('UNICORN_UNILEVER_020324_1003',156),54.0
('UNICORN_UNILEVER_020324_1004',156),8602.0
('UNICORN_UNILEVER_020324_1004',2379),121.0
('UNICORN_UNILEVER_020324_1004',2671),75.0
('UNICORN_UNILEVER_020324_1004',2720),1452.0
('UNICORN_UNILEVER_020324_1004',3004),1405.0
('UNICORN_UNILEVER_020324_1005',144),1038.0
('UNICORN_UNILEVER_020324_1005',2379),118.0
('UNICORN_UNILEVER_020324_1005',2671),216.0
('UNICORN_UNILEVER_020324_1005',2720),1422.0
('UNICORN_UNILEVER_020923_0002',2379),127.0
('UNICORN_UNILEVER_020923_0002',2720),162.0
('UNICORN_UNILEVER_020923_0003',144),12.0
('UNICORN_UNILEVER_030224_6283',2379),376.0
('UNICORN_UNILEVER_030224_6283',2671),1347.0
('UNICORN_UNILEVER_030224_7186',2671),940.0
('UNICORN_UNILEVER_030224_7186',2720),3327.0
('UNICORN_UNILEVER_030224_7186',3004),535.0
('UNICORN_UNILEVER_030224_9115',144),1587.0
('UNICORN_UNILEVER_030224_9115',2379),19.0
('UNICORN_UNILEVER_030224_9115',2671),9873.0
('UNICORN_UNILEVER_030224_9115',2720),4491.0
('UNICORN_UNILEVER_031023_1002',2671),22.0
('UNICORN_UNILEVER_031023_1003',144),4.0
('UNICORN_UNILEVER_031023_1003',2379),33.0
('UNICORN_UNILEVER_031023_1003',2671),3.0
('UNICORN_UNILEVER_031023_1003',2720),46.0
('UNICORN_UNILEVER_031023_1005',2671),4.0
('UNICORN_UNILEVER_031023_1009',2720),1.0
('UNICORN_UNILEVER_031023_1010',2720),1.0
('UNICORN_UNILEVER_031223_0202',144),115.0
('UNICORN_UNILEVER_031223_0202',156),37.0
('UNICORN_UNILEVER_031223_0202',2671),18.0
('UNICORN_UNILEVER_031223_0202',2720),37.0
('UNICORN_UNILEVER_040224_1020',144),93.0
('UNICORN_UNILEVER_040224_1020',156),108.0
('UNICORN_UNILEVER_040224_1020',2671),36.0
('UNICORN_UNILEVER_040224_1020',3004),147.0
('UNICORN_UNILEVER_040224_1021',156),72.0
('UNICORN_UNILEVER_040224_1021',2671),72.0
('UNICORN_UNILEVER_040224_1021',3004),79.0
('UNICORN_UNILEVER_040224_1022',156),2376.0
('UNICORN_UNILEVER_040224_1022',2379),70.0
('UNICORN_UNILEVER_040224_1022',2671),238.0
('UNICORN_UNILEVER_040224_1022',3004),219.0
('UNICORN_UNILEVER_040324_3351',3004),9205.0
('UNICORN_UNILEVER_041223_8629',2671),76.0
('UNICORN_UNILEVER_050224_0002',144),2062.0
('UNICORN_UNILEVER_050224_0002',156),4752.0
('UNICORN_UNILEVER_050224_0002',2379),1539.0
('UNICORN_UNILEVER_050224_0002',2671),1903.0
('UNICORN_UNILEVER_050224_0002',3004),339.0
('UNICORN_UNILEVER_050324_6827',3004),193656.0
('UNICORN_UNILEVER_050324_6828',3004),13117.0
('UNICORN_UNILEVER_050723_9922',144),3349.0
('UNICORN_UNILEVER_050723_9922',156),1291.0
('UNICORN_UNILEVER_050723_9923',144),1030.0
('UNICORN_UNILEVER_050723_9923',156),1482.0
('UNICORN_UNILEVER_050723_9923',2379),7.0
('UNICORN_UNILEVER_050723_9924',144),37.0
('UNICORN_UNILEVER_050723_9924',2379),10.0
('UNICORN_UNILEVER_050723_9924',2720),1.0
('UNICORN_UNILEVER_050723_9925',144),1.0
('UNICORN_UNILEVER_050723_9925',2671),2.0
('UNICORN_UNILEVER_050723_9926',144),199.0
('UNICORN_UNILEVER_050723_9926',156),49.0
('UNICORN_UNILEVER_050723_9926',2671),195.0
('UNICORN_UNILEVER_050723_9926',2720),186.0
('UNICORN_UNILEVER_050723_9928',144),1.0
('UNICORN_UNILEVER_050723_9928',2671),3.0
('UNICORN_UNILEVER_050723_9929',144),29.0
('UNICORN_UNILEVER_050723_9929',2379),9.0
('UNICORN_UNILEVER_050723_9929',2671),7.0
('UNICORN_UNILEVER_050723_9929',2720),3.0
('UNICORN_UNILEVER_050723_9930',144),1.0
('UNICORN_UNILEVER_050723_9931',144),1.0
('UNICORN_UNILEVER_050723_9931',2671),5.0
('UNICORN_UNILEVER_050723_9931',2720),4.0
('UNICORN_UNILEVER_050723_9932',2671),21.0
('UNICORN_UNILEVER_050723_9932',2720),1e-05
('UNICORN_UNILEVER_060124_0001',144),28.0
('UNICORN_UNILEVER_060124_0001',156),136.0
('UNICORN_UNILEVER_060124_0002',156),403.0
('UNICORN_UNILEVER_060124_0002',2379),219.0
('UNICORN_UNILEVER_060124_0002',2671),93.0
('UNICORN_UNILEVER_060124_0002',3004),76.0
('UNICORN_UNILEVER_060124_0003',144),270.0
('UNICORN_UNILEVER_060124_0003',156),115.0
('UNICORN_UNILEVER_060124_0003',2379),40.0
('UNICORN_UNILEVER_060124_0003',2671),19.0
('UNICORN_UNILEVER_060124_0004',144),3.0
('UNICORN_UNILEVER_060124_0004',156),9.0
('UNICORN_UNILEVER_060124_0005',144),3019.0
('UNICORN_UNILEVER_060124_0005',156),5031.0
('UNICORN_UNILEVER_060124_0005',2379),6283.0
('UNICORN_UNILEVER_060124_0005',2671),633.0
('UNICORN_UNILEVER_060124_0005',2720),1981.0
('UNICORN_UNILEVER_060124_0007',144),6621.0
('UNICORN_UNILEVER_060124_0007',156),7029.0
('UNICORN_UNILEVER_060124_0007',2379),3673.0
('UNICORN_UNILEVER_060124_0007',2671),4428.0
('UNICORN_UNILEVER_060124_0007',2720),2403.0
('UNICORN_UNILEVER_060124_0007',3004),1653.0
('UNICORN_UNILEVER_060124_0011',156),828.0
('UNICORN_UNILEVER_060124_0011',2671),109.0
('UNICORN_UNILEVER_060124_0011',2720),37.0
('UNICORN_UNILEVER_060124_0011',3004),18.0
('UNICORN_UNILEVER_060124_0012',144),40.0
('UNICORN_UNILEVER_060124_0012',156),34.0
('UNICORN_UNILEVER_060124_0012',3004),21.0
('UNICORN_UNILEVER_060124_0013',156),993.0
('UNICORN_UNILEVER_060124_0015',144),9036.0
('UNICORN_UNILEVER_060124_0015',156),21505.0
('UNICORN_UNILEVER_060124_0015',2379),1354.0
('UNICORN_UNILEVER_060124_0015',2671),1776.0
('UNICORN_UNILEVER_060124_8888',156),70.0
('UNICORN_UNILEVER_060124_8888',3004),27.0
('UNICORN_UNILEVER_060124_8889',144),15.0
('UNICORN_UNILEVER_060124_8889',2379),1.0
('UNICORN_UNILEVER_060124_8890',144),382.0
('UNICORN_UNILEVER_060124_8890',156),562.0
('UNICORN_UNILEVER_060124_8890',2379),72.0
('UNICORN_UNILEVER_060124_8890',2671),69.0
('UNICORN_UNILEVER_060124_8891',144),738.0
('UNICORN_UNILEVER_060124_8891',156),1119.0
('UNICORN_UNILEVER_060124_8891',2379),391.0
('UNICORN_UNILEVER_060124_8891',2671),148.0
('UNICORN_UNILEVER_060124_8891',2720),112.0
('UNICORN_UNILEVER_060124_8892',144),127.0
('UNICORN_UNILEVER_060124_8892',156),715.0
('UNICORN_UNILEVER_060124_8892',2379),36.0
('UNICORN_UNILEVER_060124_8892',2671),54.0
('UNICORN_UNILEVER_060124_8892',2720),102.0
('UNICORN_UNILEVER_060124_8893',144),144.0
('UNICORN_UNILEVER_060124_8893',156),84.0
('UNICORN_UNILEVER_060124_8893',2379),25.0
('UNICORN_UNILEVER_060124_8894',144),208.0
('UNICORN_UNILEVER_060124_8894',156),801.0
('UNICORN_UNILEVER_060124_8894',2379),324.0
('UNICORN_UNILEVER_060124_8894',2671),192.0
('UNICORN_UNILEVER_060124_8894',3004),102.0
('UNICORN_UNILEVER_060124_8895',144),292.0
('UNICORN_UNILEVER_060124_8895',2379),102.0
('UNICORN_UNILEVER_060124_8896',144),25.0
('UNICORN_UNILEVER_060124_8896',2379),22.0
('UNICORN_UNILEVER_060124_8897',144),204.0
('UNICORN_UNILEVER_060124_8897',2379),6.0
('UNICORN_UNILEVER_060124_8897',2671),73.0
('UNICORN_UNILEVER_060124_8898',156),180.0
('UNICORN_UNILEVER_060124_8898',2720),91.0
('UNICORN_UNILEVER_060124_8898',3004),123.0
('UNICORN_UNILEVER_060124_8899',144),19.0
('UNICORN_UNILEVER_060124_8899',156),61.0
('UNICORN_UNILEVER_060124_8899',2671),10.0
('UNICORN_UNILEVER_060124_8900',156),196.0
('UNICORN_UNILEVER_060124_8900',2379),46.0
('UNICORN_UNILEVER_060124_8900',3004),1.0
('UNICORN_UNILEVER_060124_8901',144),637.0
('UNICORN_UNILEVER_060124_8901',156),123.0
('UNICORN_UNILEVER_060124_8901',2379),417.0
('UNICORN_UNILEVER_060124_8901',2671),432.0
('UNICORN_UNILEVER_060124_8909',144),2661.0
('UNICORN_UNILEVER_060124_8909',156),8073.0
('UNICORN_UNILEVER_060124_8909',2379),7786.0
('UNICORN_UNILEVER_060124_8909',2671),1954.0
('UNICORN_UNILEVER_060124_8909',2720),1615.0
('UNICORN_UNILEVER_060124_8909',3004),6096.0
('UNICORN_UNILEVER_060124_9448',144),196.0
('UNICORN_UNILEVER_060124_9448',156),358.0
('UNICORN_UNILEVER_060124_9448',2379),1.0
('UNICORN_UNILEVER_0601_2002',144),17146.0
('UNICORN_UNILEVER_0601_2002',156),17550.0
('UNICORN_UNILEVER_0601_2002',2379),1029.0
('UNICORN_UNILEVER_0601_2002',2671),2754.0
('UNICORN_UNILEVER_0601_2004',144),3855.0
('UNICORN_UNILEVER_0601_2004',156),17715.0
('UNICORN_UNILEVER_0601_2004',2379),99.0
('UNICORN_UNILEVER_0601_2004',2671),715.0
('UNICORN_UNILEVER_0601_2004',2720),220.0
('UNICORN_UNILEVER_0601_2005',144),30067.0
('UNICORN_UNILEVER_0601_2005',156),15187.0
('UNICORN_UNILEVER_0601_2005',2379),2448.0
('UNICORN_UNILEVER_0601_2005',2671),9483.0
('UNICORN_UNILEVER_0601_2005',2720),4531.0
('UNICORN_UNILEVER_0601_2006',144),4810.0
('UNICORN_UNILEVER_0601_2006',2379),247.0
('UNICORN_UNILEVER_0601_2006',2671),333.0
('UNICORN_UNILEVER_0601_2006',2720),2094.0
('UNICORN_UNILEVER_0601_2007',144),11181.0
('UNICORN_UNILEVER_0601_2007',156),39940.0
('UNICORN_UNILEVER_0601_2007',2379),973.0
('UNICORN_UNILEVER_0601_2007',2671),6717.0
('UNICORN_UNILEVER_0601_2007',2720),2547.0
('UNICORN_UNILEVER_0601_2007',3004),1528.0
('UNICORN_UNILEVER_0601_2008',144),10438.0
('UNICORN_UNILEVER_0601_2008',156),9694.0
('UNICORN_UNILEVER_0601_2008',2379),4632.0
('UNICORN_UNILEVER_0601_2008',2720),775.0
('UNICORN_UNILEVER_0601_2009',144),2410.0
('UNICORN_UNILEVER_0601_2009',156),1789.0
('UNICORN_UNILEVER_0601_2009',2379),6.0
('UNICORN_UNILEVER_0601_2009',2720),177.0
('UNICORN_UNILEVER_0601_2009',3004),184.0
('UNICORN_UNILEVER_0601_2010',144),112.0
('UNICORN_UNILEVER_0601_2010',156),1513.0
('UNICORN_UNILEVER_0601_2010',2379),175.0
('UNICORN_UNILEVER_0601_2011',2671),207.0
('UNICORN_UNILEVER_0601_2011',2720),93.0
('UNICORN_UNILEVER_0601_2011',3004),31.0
('UNICORN_UNILEVER_0601_2012',144),180.0
('UNICORN_UNILEVER_0601_2012',2671),6.0
('UNICORN_UNILEVER_0601_2012',2720),118.0
