warehouse_id,sku,sku_id,lp,sp,profit_per_quantity,no_of_units,total_profit_per_sku,min_units,max_units,Optimal_Units,Optimal_Profit_Per_SKU
2379,UNICORN-UNILEVER-0601-2063,2379UNICORN-UNILEVER-0601-2063,3.24,3.430417,0.190417,7889,1502.199713,3944,11833,11833.0,2253.204361
2379,UNICORN-UNILEVER-280124-2560,2379UNICORN-UNILEVER-280124-2560,4.06,4.288165,0.228165,35482,8095.75053,17741,53223,17741.0,4047.875265
2379,UNICORN-UNILEVER-080124-6407,2379UNICORN-UNILEVER-080124-6407,1.65,1.749931,0.099931,4418,441.495158,2209,6627,6627.0,662.242737
2379,UNICORN-UNILEVER-080124-6406,2379UNICORN-UNILEVER-080124-6406,91.22,96.457361,5.237361,204,1068.421644,102,306,102.0,534.210822
2379,UNICORN-UNILEVER-080124-6404,2379UNICORN-UNILEVER-080124-6404,41.85,44.251667,2.401667,4652,11172.55488,2326,6978,2326.0,5586.2774420000005
2379,UNICORN-UNILEVER-271123-2700,2379UNICORN-UNILEVER-271123-2700,124.95,131.666667,6.716667,96,644.800032,48,144,48.0,322.400016
2379,UNICORN-UNILEVER-300723-0001,2379UNICORN-UNILEVER-300723-0001,3.25,3.4292,0.1792,3619,648.5248,1809,5428,1809.0,324.1728
2379,UNICORN-UNILEVER-130723-1437,2379UNICORN-UNILEVER-130723-1437,15.8254,13.2283,-2.672933333,7,-18.71053333,3,10,3.0,-8.018799999
2379,UNICORN-UNILEVER-130723-1442,2379UNICORN-UNILEVER-130723-1442,106.2885,76.0,-30.2885,1,-30.2885,0,1,0.0,-0.0
2379,UNICORN-UNILEVER-130723-1402,2379UNICORN-UNILEVER-130723-1402,40.9356,37.0,-3.9356,7,-27.5492,3,10,3.0,-11.806799999999999
2379,UNICORN-UNILEVER-080124-6402,2379UNICORN-UNILEVER-080124-6402,3.24,3.429058,0.189058,3434,649.225172,1717,5151,5151.0,973.837758
2379,UNICORN-UNILEVER-180124-3882,2379UNICORN-UNILEVER-180124-3882,76.16,80.535833,4.375833,373,1632.185709,186,559,186.0,813.904938
2379,UNICORN-UNILEVER-0601-2059,2379UNICORN-UNILEVER-0601-2059,3.29,3.479167,0.189167,1449,274.102983,724,2173,724.0,136.956908
2379,UNICORN-UNILEVER-0601-2057,2379UNICORN-UNILEVER-0601-2057,161.9,171.20375,9.30375,134,1246.7025,67,201,67.0,623.35125
2379,UNICORN-UNILEVER-0601-2058,2379UNICORN-UNILEVER-0601-2058,161.9,171.20375,9.30375,88,818.73,44,132,44.0,409.365
2379,UNICORN-UNILEVER-300723-0005,2379UNICORN-UNILEVER-300723-0005,165.1,173.9654,8.8654,21,186.1734,10,31,10.0,88.654
2379,UNICORN-UNILEVER-0601-2054,2379UNICORN-UNILEVER-0601-2054,118.49,125.302917,6.812917,116,790.298372,58,174,58.0,395.149186
2379,UNICORN-UNILEVER-060124-8891,2379UNICORN-UNILEVER-060124-8891,83.85,88.6675,4.8175,261,1257.3675,130,391,130.0,626.275
2379,UNICORN-UNILEVER-060224-4725,2379UNICORN-UNILEVER-060224-4725,16.39,17.329514,0.939514,1740,1634.75436,870,2610,870.0,817.37718
2379,UNICORN-UNILEVER-170124-7267,2379UNICORN-UNILEVER-170124-7267,78.49,82.998472,4.508472,7137,32176.96466,3568,10705,3568.0,16086.228096
2379,UNICORN-UNILEVER-140124-1992,2379UNICORN-UNILEVER-140124-1992,131.28,138.828611,7.548611,5078,38331.84666,2539,7617,2539.0,19165.923329
2379,UNICORN-UNILEVER-080124-6398,2379UNICORN-UNILEVER-080124-6398,72.74,76.917083,4.177083,512,2138.666496,256,768,256.0,1069.333248
2379,UNICORN-UNILEVER-130723-1242,2379UNICORN-UNILEVER-130723-1242,8.79,9.26,0.47,955,448.85,477,1432,477.0,224.19
2379,UNICORN-UNILEVER-130723-1240,2379UNICORN-UNILEVER-130723-1240,13.06,13.7613,0.3480230769,518,180.2759538,259,777,259.0,90.1379769171
2379,UNICORN-UNILEVER-130723-1554,2379UNICORN-UNILEVER-130723-1554,8.47,8.9283,0.4583,1389,636.5787,694,2083,694.0,318.0602
2379,UNICORN-UNILEVER-130723-1475,2379UNICORN-UNILEVER-130723-1475,52.27,55.0767,2.8067,1667,4678.7689,833,2500,833.0,2337.9811
2379,UNICORN-UNILEVER-060124-8901,2379UNICORN-UNILEVER-060124-8901,52.08,55.07625,2.99625,278,832.9575,139,417,417.0,1249.43625
2379,UNICORN-UNILEVER-0601-2047,2379UNICORN-UNILEVER-0601-2047,43.43,45.926389,2.496389,6970,17399.83133,3485,10455,3485.0,8699.915665
2379,UNICORN-UNILEVER-0601-2043,2379UNICORN-UNILEVER-0601-2043,52.08,55.07625,2.99625,1267,3796.24875,633,1900,1900.0,5692.875
2379,UNICORN-UNILEVER-130723-1342,2379UNICORN-UNILEVER-130723-1342,41.88,45.9267,4.0467,1188,4807.4796,594,1782,1782.0,7211.219400000001
2379,UNICORN-UNILEVER-0601-2048,2379UNICORN-UNILEVER-0601-2048,76.39,80.778333,4.388333,655,2874.358115,327,982,327.0,1434.984891
2379,UNICORN-UNILEVER-0601-2049,2379UNICORN-UNILEVER-0601-2049,43.43,45.926389,2.496389,1879,4690.714931,939,2818,939.0,2344.1092710000003
2379,UNICORN-UNILEVER-060124-0005,2379UNICORN-UNILEVER-060124-0005,8.44,8.92854,0.48854,4189,2046.49406,2094,6283,6283.0,3069.49682
2379,UNICORN-UNILEVER-060124-8895,2379UNICORN-UNILEVER-060124-8895,76.39,80.778333,4.388333,68,298.406644,34,102,34.0,149.20332200000001
2379,UNICORN-UNILEVER-130723-1809,2379UNICORN-UNILEVER-130723-1809,62.32,65.6667,3.3467,17,56.8939,8,25,8.0,26.7736
2379,UNICORN-UNILEVER-011123-7710,2379UNICORN-UNILEVER-011123-7710,62.32,65.666,3.346,34,113.764,17,51,17.0,56.882000000000005
